,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,player_id,season,player_display_name,team,GP,position,age,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,fantasy_points,oline,qb,rb,wrte,dst,YearsBack
0,0,0,0,0,0,0,0,0,0,00-0006101,2013,Tony Gonzalez,atl,16,TE,37.0,REG,0,0.0,0,0.0,0.0,0,83,121,859.0,8,0.0,964.0,224.0,56.0,1,0.0,8,135.9,46.36300983647641,12.51163371921244,7.513943652954624,35.61003443160463,72.27935373044245,11
1,1,1,1,1,1,1,1,1,1,00-0015754,2013,Brandon Stokley,rav,6,WR,37.0,REG,0,0.0,0,0.0,0.0,0,13,21,115.0,0,0.0,174.0,60.0,8.0,0,0.0,0,11.5,35.83735354927636,9.386020440364756,6.904745642344119,26.714058176422764,114.27314635605444,11
2,2,2,2,2,2,2,2,2,2,00-0020337,2013,Steve Smith,car,15,WR,34.0,REG,0,0.0,0,0.0,0.0,0,64,110,745.0,4,0.0,1219.0,178.0,44.0,0,0.0,4,98.5,49.871561932209765,11.862108143022702,14.222381460872096,33.76138471475692,131.30478129024218,11
3,3,3,3,3,3,3,3,3,3,00-0020337,2014,Steve Smith,rav,16,WR,35.0,REG,0,0.0,0,0.0,0.0,0,79,134,1065.0,6,1.0,1413.0,363.0,45.0,0,0.0,6,140.5,52.74398737115795,13.07219899064462,13.015096419833304,37.20548943491161,109.31622847655072,10
4,4,4,4,4,4,4,4,4,4,00-0020337,2015,Steve Smith,rav,7,WR,36.0,REG,0,0.0,0,0.0,0.0,0,46,73,670.0,3,0.0,719.0,256.0,28.0,0,0.0,3,85.00000000000001,40.0197628458498,10.577490121085606,7.341061103152053,30.10516419078211,92.74540677648709,9
5,5,5,5,5,5,5,5,5,5,00-0020337,2016,Steve Smith,rav,14,WR,37.0,REG,0,0.0,0,0.0,0.0,0,70,101,799.0,5,0.0,873.0,281.0,39.0,2,0.0,5,113.9,40.20041087184641,10.581240473508036,7.543414301954022,30.11583827075364,115.79529017520312,8
6,6,6,6,6,6,6,6,6,6,00-0020494,2013,Santana Moss,was,16,WR,34.0,REG,3,25.0,0,0.0,1.0,0,42,78,452.0,2,1.0,641.0,182.0,28.0,0,0.0,2,57.7,37.84224046112399,9.238424927466967,9.878284986168143,26.293978639713675,82.7007580624438,11
7,7,7,7,7,7,7,7,7,7,00-0020494,2014,Santana Moss,was,5,WR,35.0,REG,0,0.0,0,0.0,0.0,0,10,15,116.0,0,0.0,111.0,74.0,6.0,0,0.0,0,11.6,39.124647909121855,10.067898657661154,8.226890346095644,28.654788487189435,84.91635072583841,10
8,8,8,8,8,8,8,8,8,8,00-0020498,2013,Reggie Wayne,clt,7,WR,34.0,REG,1,5.0,0,0.0,0.0,0,38,58,503.0,2,0.0,600.0,158.0,28.0,1,0.0,2,64.80000000000001,49.37034020424785,12.484032212907744,11.22889973391381,35.531476298275884,105.1024669150713,11
9,9,9,9,9,9,9,9,9,9,00-0020498,2014,Reggie Wayne,clt,15,WR,35.0,REG,0,0.0,0,0.0,0.0,0,64,116,779.0,2,1.0,1124.0,273.0,40.0,0,0.0,2,87.9,53.98210914043397,14.36113460539346,9.5433978708536,40.8739984922737,109.31622847655072,10
10,10,10,10,10,10,10,10,10,10,00-0021547,2013,Antonio Gates,sdg,16,TE,33.0,REG,0,0.0,0,0.0,0.0,0,77,113,872.0,4,2.0,804.0,366.0,49.0,0,0.0,4,107.2,58.39233130756218,14.835919960170887,13.009566953032737,42.225310655870985,91.01093811038564,11
11,11,11,11,11,11,11,11,11,11,00-0021547,2014,Antonio Gates,sdg,16,TE,34.0,REG,0,0.0,0,0.0,0.0,0,69,98,821.0,12,0.0,913.0,251.0,44.0,0,0.0,12,154.1,46.305754170922704,12.298630600691723,8.264479617831388,35.00379478658414,97.4577157701656,10
